transcript_id	gene_id	log2fc	qval	five_prime	three_prime	intergenic	mean_obs	coding_potential	biotype
MSTRG.14774.17	MSTRG.14774	-0.608433963710896	6.71241323391925e-10	-	-	-	6.67527490121078	0.995566314411552	novel
MSTRG.4227.1	MSTRG.4227	0.765800520651389	7.60304265798987e-10	-	-	-	6.17632568123082	0.0170025700426124	novel
MSTRG.2173.5	MSTRG.2173	1.03550432169577	8.66405214319252e-10	-	-	-	5.37131068740512	0.00115893525206292	novel
MSTRG.18144.1	MSTRG.18144	0.668693645416195	9.88541957330031e-10	X	-	-	7.35254636950706	0.0811799511841678	novel
MSTRG.25918.3	MSTRG.25918	-0.835405308405237	1.32647494925521e-09	-	-	-	5.81330253341911	0.00863367087687606	novel
MSTRG.14622.28	MSTRG.14622	-1.13797357681939	1.49099484656168e-09	-	X	-	5.08403524636036	0.292070942323075	novel
MSTRG.2352.1	MSTRG.2352	-0.87226667470242	1.66850552961523e-09	-	-	X	5.29988509744525	0.149572781440972	novel
MSTRG.17339.2	MSTRG.17339	4.82130763434265	1.83219382856279e-09	-	X	-	3.68752967429139	0.999991628094956	novel
MSTRG.3341.13	MSTRG.3341	-0.89903046594827	2.01998341687023e-09	X	-	-	5.16438292590597	0.0394888791309044	novel
MSTRG.7652.6	MSTRG.7652	-0.795782389645389	2.19199047874084e-09	X	X	-	5.77370208141854	0.436860392827324	novel
MSTRG.25970.3	MSTRG.25970	0.881399246159625	2.65499108112781e-09	-	-	-	6.33775113971781	0.00385196664314516	novel
MSTRG.7511.16	MSTRG.7511	-0.443638923225505	3.42949452685842e-09	X	-	-	9.41349685357436	0.00797185884031127	novel
MSTRG.2753.4	MSTRG.2753	-0.881042904270207	3.56309352898145e-09	X	-	-	5.32810292094178	0.405611583023436	novel
MSTRG.18278.5	MSTRG.18278	0.646986273960835	4.14748200658132e-09	X	X	-	7.14983180348917	0.00921996884574492	novel
MSTRG.13658.8	MSTRG.13658	-0.979611610353306	4.18987603427334e-09	X	-	-	5.61070545241908	0.0546385878397373	novel
MSTRG.28462.6	MSTRG.28462	0.518009887658642	4.3904659416883e-09	X	X	-	7.55801985034378	0.117775497661012	novel
MSTRG.24676.1	MSTRG.24676	-5.1073125091672	4.6128423744248e-09	X	X	-	1.86050907402365	0.0113166353495435	novel
